"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"C8","Anderson_3_Horisontal_Side_by_Side",1,"Anderson_3",,,
2,"U9","OKI_Horisontal",1,"OKI",,,
3,"U13","MOLEX_SL_3_Horizontal",1,"Molex_SL_3",,,
4,"U14","Molex_PicoBlade_53047-0310_03x1.25mm_Straight",1,"Picoblade_3",,,
5,"C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17","C_0603_HandSoldering",15,"10uf",,,
6,"C18,C19,C20","C_0603_HandSoldering",3,"0.1uf",,,
7,"D1","LED_0603_HandSoldering",1,"LED",,,
8,"J1","BNC-75-Ohm-HORIZONTAL-1-1478032-0",1,"BNC_75_OHM_HORIZ",,,
9,"R1,R2,R3,R4,R9","R_0603_HandSoldering",5,"75",,,
10,"R5","R_0603_HandSoldering",1,"330",,,
11,"R6","R_0603_HandSoldering",1,"100k",,,
12,"R7,R8","R_0603_HandSoldering",2,"470",,,
13,"U10","LMH6574MA&slash_NOPB",1,"LMH6574MA",,,
14,"U12","TXB0102DCUR",1,"TXB0102_DCU_8",,,
15,"U11","TM4C129E_Launchpad_X7_Bottom_SMD",1,"TM4C129E_Launchpad_X7",,,
16,"G***","Atlas_Logo_28.6mmX37.3mm",1,"LOGO",,,
17,"G***","MRDT_Logo_20mm",1,"LOGO",,,
18,"J2,J3,J4,J5","bnc-ci",4,"BNC_75_OHM_HORIZ",,,
19,"U5,U6,U7,U8","MOLEX_SL_3_Vertical",4,"Molex_SL_3",,,
